Config: classical_fire_aware_sampler_smoke
Model: classical_unet | Mode: 5 (swir_aerosol)
Output: experiments/classical_fire_aware_sampler_smoke_0419_1521
Train sampler: fire-aware sampling enabled | Fire patches: 153 | Non-fire patches: 1305 | Target fire fraction: 0.35
Train: 729 batches | Val: 504 | Test: 11

--- Epoch 1/1 ---
  Iter 590/729 | Loss: 0.3323 | OA: 0.9861 | mIoU: 0.4931 | Time: 0.03s
  Iter 600/729 | Loss: 0.4916 | OA: 0.9496 | mIoU: 0.4748 | Time: 0.03s
  Iter 610/729 | Loss: 0.3735 | OA: 0.8965 | mIoU: 0.4697 | Time: 0.05s
  Iter 620/729 | Loss: 0.3831 | OA: 0.9390 | mIoU: 0.4695 | Time: 0.03s
  Iter 630/729 | Loss: 0.3342 | OA: 0.9601 | mIoU: 0.4801 | Time: 0.03s
  Iter 640/729 | Loss: 0.5759 | OA: 0.9034 | mIoU: 0.5641 | Time: 0.03s
  Iter 650/729 | Loss: 0.4939 | OA: 0.9787 | mIoU: 0.5101 | Time: 0.03s
  Iter 660/729 | Loss: 0.4059 | OA: 0.9036 | mIoU: 0.4518 | Time: 0.03s
  Iter 670/729 | Loss: 0.6496 | OA: 0.7722 | mIoU: 0.4180 | Time: 0.03s
  Iter 680/729 | Loss: 0.8475 | OA: 0.7693 | mIoU: 0.3969 | Time: 0.03s
  Iter 690/729 | Loss: 0.4971 | OA: 0.6975 | mIoU: 0.3738 | Time: 0.03s
  Iter 700/729 | Loss: 0.3759 | OA: 0.9359 | mIoU: 0.4679 | Time: 0.03s
  Iter 710/729 | Loss: 0.3374 | OA: 0.9767 | mIoU: 0.4883 | Time: 0.03s
  Iter 720/729 | Loss: 0.2950 | OA: 0.9762 | mIoU: 0.4881 | Time: 0.03s
Validating...
  Val OA: 87.57% | Fire F1: 19.96% | Fire IoU: 11.09% | mIoU: 49.23%
  New best model! Saving checkpoint...

Testing...
  Test OA: 80.47% | Fire P: 9.94% | Fire R: 29.53% | Fire F1: 14.87% | Fire IoU: 8.03% | mIoU: 44.08%

Done. Results saved to experiments/classical_fire_aware_sampler_smoke_0419_1521
